Temp,Hum,Lght,Co2,Hrat,Occ
22.2,27.29,299,594.3333333,0.004517288,0
20.5,21.26,300,448.3333333,0.003164011,0
20.5,21.2675,301,443.75,0.003165133,0
20.5,21.29,302,442.5,0.003168499,0
20.5,21.29,303,444.5,0.003168499,0
20.2,20.96333333,299,445.6666667,0.003062073,0
20.2,20.89,300,446,0.003051308,0
20.2,20.85666667,301,443.6666667,0.003046416,0
20.2,20.89,302,439,0.003051308,0
20.2,20.79,303,441,0.00303663,0
20.2,20.79,304,442,0.00303663,0
20.2,20.745,305,443.5,0.003030026,0
20.245,20.84,299,443,0.003052493,0
20.245,20.84,299,442,0.003052493,0
20.29,20.89,299,443,0.003068418,0
20.29,20.89,299,444,0.003068418,0
20.29,20.79,299,443,0.003053658,0
20.29,20.79,299,442,0.003053658,0
20.29,20.79,299,443,0.003053658,0
20.29,20.79,299,441,0.003053658,0
20.29,20.79,299,446.3333333,0.003053658,0
20.29,20.7,299,446,0.003040374,0
20.29,20.7,299,439,0.003040374,0
20.35666667,20.7,300,444.3333333,0.003052986,0
20.29,20.65,301,446,0.003032994,0
20.29,20.7,302,442,0.003040374,0
20.29,20.7,303,441.5,0.003040374,0
20.29,20.7,304,440.5,0.003040374,0
20.29,20.7,305,443.5,0.003040374,0
20.29,20.7,306,440.5,0.003040374,0
20.29,20.7,307,437.5,0.003040374,0
20.29,20.7,308,438,0.003040374,0
20.29,20.7,309,443,0.003040374,0
20.26,20.7,310,443,0.003034714,0
20.29,20.7,311,436.3333333,0.003040374,0
20.29,20.76,311,438.3333333,0.00304923,0
20.29,20.7,311,437,0.003040374,0
20.29,20.7,311,439,0.003040374,0
20.245,20.7,311,436,0.003031887,0
20.29,20.7,311,432.5,0.003040374,0
20.23,20.63333333,311,435,0.00301926,0
20.245,20.65,311,442,0.003024528,0
20.2,20.6,311,444.5,0.003008744,0
20.29,20.7,311,447,0.003040374,0
20.2,20.6,311,446,0.003008744,0
20.23,20.56666667,311,442.3333333,0.003009457,0
20.245,20.55,311,440,0.003009811,0
20.29,20.6,259,440,0.003025615,0
20.26,20.49666667,260,439.6666667,0.00300476,0
20.29,20.5,261,442,0.003010856,0
20.29,20.55,262,441,0.003018235,0
20.29,20.6,263,441,0.003025615,0
20.29,20.5,264,441.75,0.003010856,0
20.32333333,20.5,265,442,0.003017095,0
20.39,20.445,266,443,0.003021439,0
20.39,20.39,267,443,0.003013271,0
20.39,20.29,268,440,0.002998422,0
20.39,20.2,268,441,0.002985058,0
20.39,20.2,268,439,0.002985058,0
20.39,20.2,268,436,0.002985058,0
20.39,20.1,268,433.5,0.00297021,0
20.39,20.1,268,435,0.00297021,0
20.39,20.05,268,434,0.002962786,0
20.34,20.05,268,438.5,0.002953606,0
20.39,20.05,268,440,0.002962786,0
20.39,20,268,439,0.002955362,0
20.39,20,260,440.5,0.002955362,0
20.39,20,261,433,0.002955362,0
20.39,19.945,262,436.5,0.002947197,0
20.5,19.89,263,438,0.002959152,0
20.42666667,19.92666667,264,438,0.002951181,0
20.5,19.89,265,441,0.002959152,0
20.5,19.89,266,434,0.002959152,0
20.5,19.89,267,439.5,0.002959152,0
20.5,19.89,268,438,0.002959152,0
20.5,19.89,269,435.5,0.002959152,0
20.5,19.89,269,436,0.002959152,0
20.5,19.89,269,439.5,0.002959152,0
20.5,19.89,269,439.5,0.002959152,0
20.5,19.89,269,438.5,0.002959152,0
20.5,19.89,269,435,0.002959152,0
20.5,19.745,269,435,0.002937477,0
20.5,19.79,269,436,0.002944204,0
20.55,19.84,269,433,0.00296084,0
20.5,19.79,269,433.6666667,0.002944204,0
20.5,19.745,250,431.5,0.002937477,0
20.5,19.65,251,436.5,0.002923278,0
20.5,19.7,252,437,0.002930751,0
20.6,19.6,253,435,0.00293393,0
20.5,19.745,254,437,0.002937477,0
20.6,19.6,255,433,0.00293393,0
20.5,19.65,256,431.5,0.002923278,0
20.5,19.65,257,432,0.002923278,0
20.55,19.65,258,429,0.002932352,0
20.55,19.6,259,430,0.002924855,0
20.5,19.6,260,430.5,0.002915804,0
20.55,19.6,290,433,0.002924855,0
20.6,19.6,290,436,0.00293393,0
20.6,19.53,290,435,0.002923403,0
20.6,19.445,290,434,0.00291062,0
20.5,19.55,290,434,0.002908331,0
20.5,19.6,290,435,0.002915804,0
20.6,19.6,290,438,0.00293393,0
20.6,19.5,290,440,0.002918891,0
20.56666667,19.53333333,290,436.6666667,0.002917872,0
20.56666667,19.5,290,437.6666667,0.002912869,0
20.56666667,19.5,290,437,0.002912869,0
20.6,19.5,290,433,0.002918891,0
20.6,19.445,290,435.5,0.00291062,0
20.6,19.5,290,435,0.002918891,0
20.6,19.5,290,437,0.002918891,0
20.6,19.34,290,436,0.00289483,0
20.5,19.34,290,438,0.002876947,0
20.6,19.5,290,440,0.002918891,0
20.55,19.445,290,438.5,0.002901617,0
20.55,19.39,290,436,0.002893372,0
20.6,19.34,300,433,0.00289483,0
20.5,19.39,301,432.5,0.002884419,0
20.5,19.39,302,434.5,0.002884419,0
20.55,19.29,303,433.5,0.00287838,0
20.6,19.39,304,433.5,0.002902349,0
20.6,19.295,305,434.5,0.002888063,0
20.6,19.29,306,434,0.002887311,0
20.6,19.29,307,435,0.002887311,0
20.5,19.34,308,431,0.002876947,0
20.5,19.29,309,431.5,0.002869474,0
20.46333333,19.22666667,310,432.6666667,0.002853516,0
20.5,19.39,311,436,0.002884419,0
20.5,19.39,60,436,0.002884419,0
20.5,19.245,60,441.5,0.00286275,0
20.5,19.2,60,434,0.002856025,0
20.39,19.29,60,433.5,0.002849966,0
20.42666667,19.29,60,429.3333333,0.002856456,0
20.5,19.29,60,434.5,0.002869474,0
20.5,19.2,60,433.5,0.002856025,0
20.5,19.15,60,435.5,0.002848553,0
20.445,19.05,60,435,0.002823965,0
20.39,19.16666667,60,434,0.002831662,0
20.39,19.245,60,430.5,0.002843287,0
20.39,19.2,60,426,0.002836609,0
20.5,19.2,290,429,0.002856025,0
20.5,19.2,290,435.5,0.002856025,0
20.5,19.2,290,433.5,0.002856025,0
20.5,19.2,290,427.5,0.002856025,0
20.53333333,19.16666667,290,429.6666667,0.00285694,0
20.525,19.175,290,433,0.002856712,0
20.5,19.1,290,432.5,0.002841082,0
20.5,19.1,290,431,0.002841082,0
20.53333333,19.1,290,433.3333333,0.002846958,0
20.85666667,19.79333333,433,648,0.003010454,1
20.89,19.79,433,655,0.003016154,1
20.9175,19.79,433,650.5,0.003021285,1
20.92666667,19.79,433,643.6666667,0.003022998,1
20.9175,19.79,433,642,0.003021285,1
20.96333333,19.79,433,639.3333333,0.003029855,1
20.89,19.79,436.5,648,0.003016154,1
20.89,19.815,426,649,0.003019983,1
20.89,19.79,433,654,0.003016154,1
20.89,19.92666667,433,660,0.003037085,1
20.89,20.13333333,442.3333333,677.3333333,0.003068739,1
20.89,20.354,435.8,698.2,0.003102541,1
20.89,20.4725,447,709.25,0.003120694,1
20.92666667,20.39,442.3333333,712,0.003115109,1
20.945,20.5,443.5,710,0.00313555,1
20.945,20.445,447,708,0.003127095,1
20.945,20.55,447,707.5,0.003143236,1
20.945,20.6975,447,725.75,0.003165912,1
20.9725,20.7675,438,733.25,0.003182078,1
21,20.79,441,735.3333333,0.00319096,1
21,20.815,438,740.75,0.003194817,1
21,20.865,438,744.25,0.003202531,1
21,20.79,438,757,0.00319096,1
21,20.79,440,759,0.00319096,1
21,20.815,437.25,752.25,0.003194817,1
21,20.865,438,754.5,0.003202531,1
21.025,20.945,440.25,758.5,0.003219843,1
21.05,21,436.5,764,0.003233331,1
21.05,21.05,441,765.25,0.003241069,1
21.1,21.15,436.5,769.75,0.003266618,1
21.1,21.245,444,780.25,0.003281368,1
21.1,21.29,444,786,0.003288355,1
21.1,21.2225,444,783.25,0.003277875,1
21.1,21.2675,444,787,0.003284862,1
21.1,21.2,444,787.6666667,0.003274381,1
21.1,21.2,448,786.75,0.003274381,1
21.1,21.2,444,782.5,0.003274381,1
21.1,21.1,454.75,779.75,0.003258855,1
21.1,21.05,454.75,777.5,0.003251092,1
21.1,21.1,460,779.3333333,0.003258855,1
21.175,21.075,449.5,782.75,0.003270077,1
21.15,21.05,449.5,787.5,0.003261142,1
21.2,21.075,454.75,777,0.003275125,1
21.2,21.06666667,449.3333333,789.6666667,0.003273823,1
21.175,21.075,460,805.25,0.003270077,1
21.2,20.9975,456,801.25,0.003263018,1
21.2,21,460,796,0.003263409,1
21.2225,21.025,449.5,793.25,0.003271853,1
21.29,20.96333333,453,788.3333333,0.003275814,1
21.2675,21,460,794.5,0.003277024,1
21.29,21,460,797.5,0.003281574,1
21.32333333,21.03333333,460,810,0.003293571,1
21.29,21,450.75,812.5,0.003281574,1
21.29,21.03333333,454.6666667,813.6666667,0.00328681,1
21.315,20.9725,444,809.25,0.003282309,1
21.29,21,444,812.3333333,0.003281574,1
21.29,21.03333333,454.6666667,807.6666667,0.00328681,1
21.315,21,460,810.5,0.003286635,1
21.34,21,452,811.5,0.003291704,1
21.325,20.978,456,808,0.003285198,1
21.31,20.956,460,804.5,0.003278702,1
21.32333333,20.86,460,797.3333333,0.003266287,1
21.35666667,20.92666667,460,796.3333333,0.003283519,1
21.39,20.865,449.5,798.5,0.003280523,1
21.39,20.79,460,796,0.003268669,1
21.34,20.995,449.5,801.25,0.003290916,1
21.34,21.1,449.5,811,0.003307462,1
21.29,21.245,460,821.5,0.003320063,1
21.34,21.2675,455.5,830.25,0.003333858,1
21.29,21.29,457,835,0.003327133,1
21.34,21.2,449.5,831,0.003323221,1
21.315,21.29,454.75,834.75,0.003332265,1
21.29,21.29,460,837,0.003327133,1
21.315,21.29,460,841,0.003332265,1
21.315,21.2675,460,844.5,0.003328725,1
21.39,21.34,460,847,0.003355608,1
21.39,21.2675,454.75,842.5,0.003344147,1
21.39,21.2,453,841,0.003333476,1
21.39,21.2475,449.5,839.5,0.003340985,1
21.365,21.3175,454.75,844.5,0.003346891,1
21.39,21.2,457,847,0.003333476,1
21.39,21.2675,454,847.75,0.003344147,1
21.32333333,21.23,464,843.3333333,0.003324531,1
21.365,21.315,461.5,847.25,0.003346497,1
21.39,21.34,449.5,848.5,0.003355608,1
21.34,21.445,449.5,848.5,0.003361833,1
21.39,21.39,454,854.25,0.003363513,1
21.34,21.1475,455.5,848.25,0.003314947,1
21.35666667,21.2,468,844.3333333,0.003326636,1
21.29,21.2,454,836.5,0.003312993,1
21.32333333,21.2,454,838,0.003319808,1
21.315,21.125,469,841.5,0.003306302,1
21.34,21,469,832,0.003291704,1
21.315,20.865,469,825,0.003265396,1
21.315,20.9175,465.25,824,0.003273655,1
21.29,21.175,475.25,826.75,0.003309066,1
21.29,21.1,464,824,0.003297283,1
21.29,21.2,459,827.5,0.003312993,1
21.29,21.236,468.2,843.5,0.003318649,1
21.365,21.17,474,845.6,0.00332361,1
21.39,20.79,492.3333333,837.3333333,0.003268669,1
21.32333333,21.06666667,474,825.6666667,0.003298818,1
21.39,20.97,480.25,831.75,0.003297119,1
21.4725,21.0475,504,832.25,0.003326228,1
21.5,21.1,539.5,843,0.00334022,1
21.5,20.725,509,839,0.003280543,1
21.5,20.84,528.5,832.5,0.003298842,1
21.6,21.0225,499,840,0.003348428,1
21.65,20.9175,497.75,850,0.003341874,1
21.675,21.1,500.25,853.75,0.003376376,1
21.7,21,489,852,0.003365456,1
21.7,20.9725,490.25,856.25,0.003361025,1
21.7,20.945,494,854.5,0.003356594,1
21.7,20.89,485.6666667,854,0.003347732,1
21.7,20.815,481.5,850.75,0.003335649,1
21.7,20.8925,484,844.5,0.003348135,1
21.7,21.075,482.75,850.75,0.00337754,1
21.73,20.89,477.3333333,861,0.003353911,1
21.73,20.93,477.3333333,865,0.003360367,1
21.7675,20.795,485.25,860.75,0.003346278,1
21.754,20.896,485.25,853.25,0.00335983,1
21.73,20.7,482.75,849.75,0.003323243,1
21.79,20.945,464,844.5,0.003375208,1
21.7225,20.87,479,846.75,0.003349138,1
21.745,20.7225,476.75,852.5,0.003329942,1
21.7,20.79,476,851,0.003331621,1
21.7,20.7675,480,854.75,0.003327996,1
21.73,20.73,479,852.6666667,0.003328085,1
21.7225,20.7,479,848.25,0.003321712,1
21.7225,20.7,485.25,848,0.003321712,1
21.7,20.6,489,846,0.003301012,1
21.7,20.745,489,844.5,0.003324371,1
21.7675,20.7925,471.5,846.75,0.003345873,1
21.76,20.73,471,849,0.003334225,1
21.79,20.55,487.75,837,0.003311217,1
21.79,20.5,467.6666667,830.3333333,0.003303117,1
21.79,20.65,469.25,829.5,0.003327416,1
21.73,20.56666667,462.3333333,830.6666667,0.003301723,1
21.79,20.6,462.75,834.25,0.003319316,1
21.79,20.6225,462.75,833.5,0.003322961,1
21.79,20.5,472.3333333,827.6666667,0.003303117,1
21.79,20.678,485,821.25,0.003331952,1
21.745,20.5,479,822.3333333,0.003293999,1
21.745,20.6,471.5,821.75,0.003310153,1
21.7,20.66666667,464,826,0.003311751,1
21.7225,20.65,475.25,829.5,0.003313645,1
21.7,20.6,479,832,0.003301012,1
21.7,20.6,464,823,0.003301012,1
21.7,20.6,469,824,0.003301012,1
